movie_title,airdate,rating,link,votes
Cruelty,22 Jan,8.3,https://www.imdb.com/title/tt9828480/,"(3,897)"
Trainer Sakonji Urokodaki,13 Apr,0,https://www.imdb.com#void,"(3,164)"
Sabito and Makomo,20 Apr,Rate,https://www.imdb.com#void,"(3,102)"
Final Selection,27 Apr,1,https://www.imdb.com#void,"(3,430)"
My Own Steel,"4 May 2019
    
My Own Steel









8",Rate,https://www.imdb.com#void,"(2,864)"
Swordsman Accompanying a Demon,"11 May 2019
    
Swordsman Accompanying a Demon









8",2,https://www.imdb.com#void,"(2,801)"
Muzan Kibutsuji,"18 May 2019
    
Muzan Kibutsuji









8",Rate,https://www.imdb.com#void,"(3,090)"
The Smell of Enchanting Blood,"25 May 2019
    
The Smell of Enchanting Blood









8",3,https://www.imdb.com#void,"(2,818)"
Temari Demon and Arrow Demon,1 Jun,Rate,https://www.imdb.com#void,"(2,755)"
Together Forever,8 Jun,4,https://www.imdb.com#void,"(2,735)"
Tsuzumi Mansion,15 Jun,Rate,https://www.imdb.com#void,"(2,779)"
"The Boar Bares Its Fangs, Zenitsu Sleeps",22 Jun,5,https://www.imdb.com#void,"(2,671)"
Something More Important Than Life,29 Jun,Rate,https://www.imdb.com/title/tt9913012/,"(2,660)"
The House with the Wisteria Family Crest,6 Jul,6,https://www.imdb.com#void,"(2,680)"
Mount Natagumo,13 Jul,Rate,https://www.imdb.com#void,"(2,565)"
Letting Someone Else Go First,20 Jul,7,https://www.imdb.com#void,"(2,861)"
You Must Master a Single Thing,27 Jul,Rate,https://www.imdb.com#void,"(3,756)"
A Forged Bond,3 Aug,8,https://www.imdb.com#void,"(3,429)"
Hinokami,10 Aug,Rate,https://www.imdb.com#void,"(14,353)"
Pretend Family,17 Aug,9,https://www.imdb.com#void,"(3,104)"
Against Corps Rules,24 Aug,Rate,https://www.imdb.com#void,"(2,690)"
Master of the Mansion,31 Aug,10,https://www.imdb.com#void,"(2,562)"
Hashira Meeting,7 Sep,Rate,https://www.imdb.com#void,"(2,462)"
Rehabilitation Training,14 Sep,7.9,https://www.imdb.com#void,"(2,436)"
"Tsuguko, Kanao Tsuyuri",21 Sep,0,https://www.imdb.com/title/tt9913014/,"(2,404)"
New Mission,28 Sep,Rate,https://www.imdb.com#void,"(3,217)"
